"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","703","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","22","1850","1850","1600","1700","0","1700","1750","426","111","111","1111","1111","legacy","xpyriment","1111","1111","m","703","0","20","50","50","50","50","50","50","50","neuiks","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","145626","145625","1561","146054","1563","98951","115579","NA","NA","NA","NA","NA","112479","146758","146054","NA","145624","LexicalDecision"
"No","946","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","23","1800","1850","1600","1700","0","1800","1850","398","1111","111","1111","1111","legacy","xpyriment","1111","111","n","946","0","20","50","50","50","50","50","50","50","ring","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","146876","146875","1561","147277","1563","98951","115579","NA","NA","NA","NA","NA","112479","148224","147277","NA","146875","LexicalDecision"
"No","510","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","24","1800","1850","1600","1650","0","1650","1700","427","1111","111","1111","1111","legacy","xpyriment","1111","1111","m","510","0","20","50","50","50","50","50","50","50","tfsroac","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","148343","148342","1561","148773","1563","98951","115579","NA","NA","NA","NA","NA","112479","149284","148773","NA","148342","LexicalDecision"
"No","518","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","25","1800","1850","1600","1600","0","1600","1650","467","1111","111","1111","1111","legacy","xpyriment","1111","1111","m","518","0","20","50","50","50","50","50","50","50","jngiogg","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","149401","149400","1561","149870","1563","98951","115579","NA","NA","NA","NA","NA","112479","150388","149870","NA","149400","LexicalDecision"
"No","753","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","26","1800","1850","1550","1600","0","1550","1600","473","1111","111","1111","1111","legacy","xpyriment","1111","1111","m","753","0","20","50","50","50","50","50","50","50","hact","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","150505","150504","1561","150981","1563","98951","115579","NA","NA","NA","NA","NA","112479","151735","150981","NA","150504","LexicalDecision"
"No","1210","0","LF","50","experimental","0","1","LF","2","0","0","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","27","1800","1900","1550","1600","0","1900","1850","467","1111","1110","1111","1111","legacy","xpyriment","1110","111","m","1210","0","20","50","50","50","50","50","50","50","eisers","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","153563","151853","151852","1561","152322","1563","98951","115579","NA","NA","NA","NA","NA","112479","153533","152322","NA","151852","LexicalDecision"
"No","724","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","28","1750","1900","1550","1600","0","1750","1800","422","1111","1110","1111","1111","legacy","xpyriment","1111","1111","n","724","0","20","50","50","50","50","50","50","50","sporen","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","153563","155701","155700","1561","156126","1563","98951","115579","NA","NA","NA","NA","NA","112479","156851","156125","NA","155700","LexicalDecision"
"No","566","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","29","1700","1900","1550","1600","0","1700","1750","520","1111","1110","1111","1111","legacy","xpyriment","1111","1111","n","566","0","20","50","50","50","50","50","50","50","mooi","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","153563","156969","156968","1561","157492","1563","98951","115579","NA","NA","NA","NA","NA","112479","158059","157491","NA","156968","LexicalDecision"
"No","548","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","30","1700","1900","1550","1550","0","1550","1600","409","1111","1110","1111","1111","legacy","xpyriment","1111","1111","m","548","0","20","50","50","50","50","50","50","50","lryla","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","153563","158177","158176","1561","158589","1563","98951","115579","NA","NA","NA","NA","NA","112479","159138","158589","NA","158176","LexicalDecision"
"No","832","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","31","1700","1850","1550","1550","0","1850","1900","571","1111","1101","1111","1111","legacy","xpyriment","1101","1110","n","832","0","20","50","50","50","50","50","50","50","buffers","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","153563","159255","159254","1561","159829","1563","98951","115579","NA","NA","NA","NA","NA","112479","160662","159829","NA","159254","LexicalDecision"
